stock_symbol,name_stock
4142.SR,كابلات الرياض
2381.SR,الحفر العربية
1302.SR,بوان
4141.SR,العمران
6012.SR,ريدان
4003.SR,إكسترا
4162.SR,المنجم
2281.SR,تنمية
2282.SR,نقي
4007.SR,الحمادي
4015.SR,جمجوم فارما
7040.SR,عذيب للإتصالات
2083.SR,مرافق
2030.SR,المصافي
2222.SR,أرامكو السعودية
2382.SR,أديس
4030.SR,البحري
4200.SR,الدريس
1202.SR,مبكو
1210.SR,بي سي اي
1211.SR,معادن
1301.SR,أسلاك
1304.SR,اليمامة للحديد
1320.SR,أنابيب السعودية
1321.SR,أنابيب الشرق
1322.SR,أماك
2010.SR,سابك
2020.SR,سابك للمغذيات الزراعية
2090.SR,جبسكو
2150.SR,زجاج
2170.SR,اللجين
2180.SR,فيبكو
2200.SR,أنابيب
2210.SR,نماء للكيماويات
2223.SR,لوبريف
2240.SR,الزامل للصناعة
2250.SR,المجموعة السعودية
2290.SR,ينساب
2300.SR,صناعة الورق
2310.SR,سبكيم العالمية
2330.SR,المتقدمة
2360.SR,الفخارية
3007.SR,الواحة
1212.SR,أسترا الصناعية
1214.SR,شاكر
2040.SR,الخزف السعودي
2160.SR,أميانتيت
2320.SR,البابطين
2370.SR,مسك
4140.SR,صادرات
1831.SR,مهارة
1833.SR,الموارد
6004.SR,كاتريون
2190.SR,سيسكو القابضة
4031.SR,الخدمات الأرضية
4260.SR,بدجت السعودية
4261.SR,ذيب
4262.SR,لومي
4263.SR,سال
1213.SR,نسيج
1810.SR,سيرا
1830.SR,وقت اللياقة
4290.SR,الخليج للتدريب
4291.SR,الوطنية للتعليم
4292.SR,عطاء
6002.SR,هرفي للأغذية
6013.SR,التطويرية الغذائية
6014.SR,الآمار
4071.SR,العربية
4210.SR,الأبحاث والإعلام
4008.SR,ساكو
4050.SR,ساسكو
4051.SR,باعظيم
4191.SR,أبو معطي
4006.SR,أسواق المزرعة
4163.SR,الدواء
4164.SR,النهدي
2050.SR,مجموعة صافولا
2100.SR,وفرة
2270.SR,سدافكو
2280.SR,المراعي
2283.SR,المطاحن الأولى
6001.SR,حلواني إخوان
6010.SR,نادك
6050.SR,الأسماك
6070.SR,الجوف
4002.SR,المواساة
4004.SR,دله الصحية
4005.SR,رعاية
4009.SR,السعودي الألماني الصحية
4013.SR,سليمان الحبيب
4014.SR,دار المعدات
2070.SR,الدوائية
1010.SR,الرياض
1120.SR,الراجحي
1140.SR,البلاد
1150.SR,الإنماء
1180.SR,الأهلي
1111.SR,مجموعة تداول
2120.SR,متطورة
8010.SR,التعاونية
8050.SR,سلامة
8180.SR,الصقر للتأمين
8200.SR,الإعادة السعودية
8210.SR,بوبا العربية
8230.SR,تكافل الراجحي
8240.SR,تشب
8250.SR,جي آي جي
8270.SR,بروج للتأمين
7200.SR,ام آي اس
7202.SR,سلوشنز
7203.SR,علم
7204.SR,توبي
7010.SR,اس تي سي
7020.SR,إتحاد إتصالات
2080.SR,الغاز
2081.SR,الخريف
2082.SR,أكوا باور
4090.SR,طيبة
4100.SR,مكة
4150.SR,التعمير
4230.SR,البحر الأحمر
4250.SR,جبل عمر
4320.SR,الأندلس
4321.SR,سينومي سنترز
4323.SR,سمو
9400.SR,يقين 30
9401.SR,يقين للبتروكيماويات
2110.SR,الكابلات السعودية
4016.SR,أفالون فارما
9531.SR,العبيكان للزجاج